year,survival,lookback
2002,0.634658170427175,11
2003,0.663514209982206,11
2004,0.660611485630275,11
2005,0.659873918919061,11
2006,0.669016310165175,11
2007,0.666766771571693,11
2008,0.669797082448604,11
2009,0.676844713221941,11
2010,0.667791112161238,11
2011,0.682505978422649,11
2012,0.655080352816253,11
2013,0.658618879845455,11
2014,0.663668786173778,11
2015,0.650857903646874,11
2016,0.652245427575415,11
1992,0.504764547667702,12
1993,0.528180899618286,12
1994,0.538112315979443,12
1995,0.555204392755973,12
1996,0.557254105063449,12
1997,0.572679612235485,12
1998,0.586810801823285,12
1999,0.599199327827176,12
2000,0.589992053359232,12
2001,0.604454659875509,12
2002,0.635605998427725,12
2003,0.637925138047631,12
2004,0.666140033645704,12
2005,0.659672702672137,12
2006,0.665306506237526,12
2007,0.66631741120939,12
2008,0.661699662870294,12
2009,0.674759762878197,12
2010,0.671238638982912,12
2011,0.666117384006778,12
2012,0.667646739241695,12
2013,0.664498423685151,12
2014,0.664518202482016,12
2015,0.654538419504982,12
2016,0.652003816121848,12
1993,0.521856048755988,13
1994,0.538125393798108,13
1995,0.544757419598977,13
1996,0.563371320022749,13
1997,0.55843671602079,13
1998,0.578767742763295,13
1999,0.596222388915443,13
2000,0.590479598412178,13
2001,0.60659858694095,13
2002,0.614048409571377,13
2003,0.63854875100041,13
2004,0.642317365424288,13
2005,0.664848191837004,13
2006,0.664702876831253,13
2007,0.66310058442662,13
2008,0.661674646282122,13
2009,0.666903477080558,13
2010,0.669745305914766,13
2011,0.669428464777129,13
2012,0.653661824333273,13
2013,0.675373698011028,13
2014,0.669491679669692,13
2015,0.656024831994802,13
2016,0.655313068262027,13
1994,0.531541996984558,14
1995,0.544294913029199,14
1996,0.553087207286483,14
1997,0.564032514843187,14
1998,0.565107329811949,14
1999,0.588081577853155,14
2000,0.588338135809497,14
2001,0.605865126377134,14
2002,0.615353931153868,14
2003,0.618320793307182,14
2004,0.642582704067822,14
2005,0.642819417189168,14
2006,0.669149390044407,14
2007,0.662697637250145,14
2008,0.659019218907212,14
2009,0.666508546376522,14
2010,0.662808358885775,14
2011,0.668171096514263,14
2012,0.657626082168134,14
2013,0.661835779969684,14
2014,0.679233487544826,14
2015,0.661249730132445,14
2016,0.656637976377071,14
1995,0.53773910805448,15
1996,0.552100215308856,15
1997,0.554389929967976,15
1998,0.569885367793442,15
1999,0.574710936759241,15
2000,0.581265662358425,15
2001,0.602840726083635,15
2002,0.614085678346778,15
2003,0.619254454535119,15
2004,0.623434346682981,15
2005,0.643033596472141,15
2006,0.648302453825933,15
2007,0.66698139888783,15
2008,0.658915225910463,15
2009,0.66370788748698,15
2010,0.662712764774994,15
2011,0.661801559913905,15
2012,0.657239363963393,15
2013,0.664990823573127,15
2014,0.666340778070651,15
2015,0.670891547451719,15
2016,0.661473671680053,15
1996,0.545466316752578,16
1997,0.553383204821358,16
1998,0.560479641163541,16
1999,0.578590121932686,16
2000,0.569156681051302,16
2001,0.595303870331121,16
2002,0.61073651857352,16
2003,0.617821684817145,16
2004,0.623990056998185,16
2005,0.625053830648583,16
2006,0.648160557113923,16
2007,0.647572895630297,16
2008,0.663167653154522,16
2009,0.663317352266292,16
2010,0.660324383416143,16
2011,0.661774865370789,16
2012,0.651951156684986,16
2013,0.66416797891837,16
2014,0.669017069067569,16
2015,0.6593260035755,16
2016,0.670498879070147,16
